protein	035_Austin_F0hPC1_a_Slot1-86_1_2725	035_Austin_F0hPC2_a_Slot1-03_1_2726	035_Austin_F0hPC3_a_Slot1-15_1_2727	035_Austin_F0hPP1_a_Slot1-50_1_2722	035_Austin_F0hPP2_a_Slot1-62_1_2723	035_Austin_F0hPP3_a_Slot1-74_1_2724	035_Austin_F24hPC1_a_Slot1-63_1_2731	035_Austin_F24hPC2_a_Slot1-75_1_2732	035_Austin_F24hPC3_a_Slot1-87_1_2733	035_Austin_F24hPP3_a_Slot1-27_1_2728	035_Austin_F24hPP4_a_Slot1-39_1_2729	035_Austin_F24hPP5_a_Slot1-51_1_2730	035_Austin_M0hPC1_a_Slot1-37_1_2711	035_Austin_M0hPC1_b_Slot1-37_1_2752	035_Austin_M0hPC3_a_Slot1-49_1_2712	035_Austin_M0hPC3_b_Slot1-49_1_2753	035_Austin_M0hPC4_a_Slot1-61_1_2713	035_Austin_M0hPC4_b_Slot1-61_1_2754	035_Austin_M0hPP1_a_Slot1-01_1_2708	035_Austin_M0hPP1_b_Slot1-01_1_2749	035_Austin_M0hPP2_a_Slot1-13_1_2709	035_Austin_M0hPP2_b_Slot1-13_1_2750	035_Austin_M0hPP3_a_Slot1-25_1_2710	035_Austin_M0hPP3_b_Slot1-25_1_2751	035_Austin_M24hPC3_a_Slot1-14_1_2718	035_Austin_M24hPC4_a_Slot1-26_1_2719	035_Austin_M24hPC5_a_Slot1-38_1_2721	035_Austin_M24hPP1_a_Slot1-73_1_2715	035_Austin_M24hPP3_a_Slot1-85_1_2716	035_Austin_M24hPP5_a_Slot1-02_1_2717
A2AJ88	32096.20119915255	18441.796262133652	26851.632539716054	15057.215670659542	20888.896539938232	16211.631076529135	26212.513494274557	22494.84641538101	19249.840744794186	17856.71009641257	12330.504704962219	19798.27690547193	26836.163198179886	30102.543478902753	23387.561634368903	38502.268377071676	21222.00154545967	19934.91215753542	19320.848638124113	19365.31134668443	17147.61301288898	17503.638593572625	16516.587610874933	15056.133074292351	20826.364594272993	22713.643964497765	21860.910367915843	19309.430790050228	23731.48340385191	18731.26885549678
A2AJB2	1513.235515653088	0.0	1065.2369798891636	0.0	1683.5567350125245	0.0	0.0	0.0	0.0	1387.1350042066956	2598.479126258486	2481.3893145979646	1569.970463544503	0.0	0.0	0.0	0.0	0.0	0.0	2081.176242430683	0.0	0.0	1773.1214589866054	2003.1297100077654	1824.6147629926522	0.0	0.0	1632.1980632270886	2267.066669280716	0.0
A2AJI0	16599.783916900884	0.0	0.0	11756.759975051895	8837.76751710055	10746.945710586551	8311.351886061355	0.0	0.0	6871.432550884836	7800.118155437804	10433.8024347558	8787.187385407975	0.0	11461.320894150336	11290.37656878279	16234.980072180142	17874.351536184597	14342.78611109377	10519.719775838983	13714.516680792856	11345.257850286976	8821.19308208591	11893.321611526899	0.0	7626.945082536078	8339.700877008987	16159.235300456445	8890.213858527879	14376.219319497271
A2AJL3	479087.58891767607	542968.8991534798	838909.0148971899	402888.0941151058	659682.0759984613	571468.1530760024	1004574.3026272753	847348.7726002766	607115.1564232252	421910.6672052381	628032.2595120085	532040.116110404	469043.02932240884	477836.52686520794	700440.2407239237	634262.8484956695	817051.0510391245	771158.0798294183	695690.1432749417	709161.1983373506	695613.3270247095	643117.4968636365	546972.9997004651	536061.0661688843	632791.0177201523	667246.4045511393	640942.4659724407	500782.74778515176	552149.876788576	413805.75227115984
A2AKG8	9484.953972608204	10662.563329281513	14420.708615555708	13597.14379149958	11745.678882342585	8068.946121840943	15523.659105248731	17142.983543763952	14822.319316938308	13819.226928968472	15741.58076448638	13418.549435906563	13589.28839010421	16601.115280712387	18132.519403506056	20153.017207422436	15051.608677755701	19063.466995462226	11682.986826583014	13817.76496690135	15753.801051770668	13792.27111017656	13499.241257436342	14836.633103058926	16918.007704110525	18435.250751390813	14372.18944850451	12957.129577198868	10095.824582358468	10562.05670280362
A2AKK5	725987.3940530503	502650.24175050785	526709.659443927	662968.9932360325	507426.12121130805	576053.8579863486	495979.6774667491	432223.94612236734	495327.27610022185	418092.2791024162	389020.2047158844	383496.8831537271	587972.4089299408	506849.4216611736	451164.08290754346	342336.09342509415	451030.0224403001	396336.84383252816	413901.16298934876	407022.01210957614	422817.68981919944	420219.4152072676	485032.22849265527	481302.988371067	522159.40584739606	477424.50967800827	424251.9531239836	489166.9991427975	561174.4737994445	524114.6123169548
A2AKQ0	307961.11754074384	414342.334292926	429262.50974983245	342406.32922530844	325506.9743276634	278809.16687144287	464027.08068648225	430448.4300121617	301875.67333658505	331613.5609776767	349979.33564321767	394104.3926922909	500667.91508941265	578433.4371668089	264637.96642224427	280100.50152447575	295052.13609558466	281657.90554617153	296233.39225043345	376739.9886384137	372700.6259734787	432056.2901869314	423425.82734842156	422685.0251657285	347463.6242189359	327973.55432470003	367239.076874829	288819.93980592873	298744.5257894353	275771.5308517419
A2ALK8	9616.077141098214	6986.387329833305	7840.563796405017	14316.162099399213	12766.01193653474	12139.068838296262	9265.484785248758	6951.1732607953945	7693.814107913555	11637.067577796308	10152.49911792961	11007.434837400444	6906.720390532593	10691.288663546242	11077.092524520216	8466.05249610008	7825.37340833063	9984.822234933034	8476.231616021374	9890.915354036428	9319.628789879234	6691.393411684394	10040.992855432183	10694.081965570149	9692.69829984087	13017.090368921394	5501.02103923035	11669.819089503417	9717.422368615846	12437.160505135882
A2ALU4	26472.091639447313	18199.31815133294	21836.390683599246	16391.80244694147	14932.950981720604	15849.645889457372	20136.403491722667	15802.236782206153	18480.89277779173	16609.30415966432	16661.389881700412	19789.23786688921	16193.019380394604	11480.996683632038	26094.23417461515	20441.43067796436	18880.913487072015	16786.690011467686	14341.362681387654	10643.349800050297	13706.072799777736	13562.638889568483	12467.394548276077	6261.719524860494	18556.172459314777	11386.478556232656	14339.797099189756	12344.134813788018	12359.113935373782	13971.8769104414
A2ALW5	35382.19125353068	37315.38967435467	73471.79117558514	30264.676528417833	47285.08084985607	34007.76808819657	56834.507247976006	48391.39912378815	27100.73915230598	49117.36326242191	50665.16334371534	46965.00080316318	46879.22708218436	50578.631559407826	39788.035072831844	17969.073522908046	20802.29408653919	22353.863092097716	19568.26142809763	28471.222378932096	22206.114268702902	20494.206536961607	29753.37618879412	38163.67843039186	42494.43629952087	8450.846643481329	37395.98564930103	20454.69247134603	28430.394671496557	34922.23339765146
A2AN08	486427.50193963764	468825.1022608158	650899.6945533309	491780.17352807143	539405.6257171471	427236.35744002607	715398.06190329	671031.8974861255	570639.9249903688	489846.31360541057	530085.8690071017	482990.80339558545	610705.2733958659	644494.8169808766	671794.3328956346	679618.9778058279	746226.3596738523	775375.9321263924	681115.5121233441	702122.3182836971	614834.6845460465	642599.6449279378	584805.2661327019	608728.9983093599	572599.7550749107	549043.0371962967	559446.8882007763	555224.7000138616	495532.11395963124	439251.99199115025
A2APT9	13194.38504731518	8667.64384597269	17436.922085418435	19643.484922209656	8160.950115286608	9269.293705610206	15413.801159152348	9064.128518415513	8407.197512081275	0.0	0.0	6147.563261184003	20196.098083055884	16712.15768409262	25132.244119551382	20733.137313753028	21219.569009088693	22093.24972928337	12730.240049542612	13295.226809346528	12423.402967655213	6787.38078453252	16341.400203275547	9765.202058258747	16878.828998908702	14000.275039356175	15052.975777670252	11735.089755697027	15861.900702946932	13603.695204947784
A2APY7	21941.840940596183	22187.514399184405	28145.13475342682	16426.123729364004	32340.951128530065	28850.938153748557	25949.9142088412	23911.74892108841	25443.695535899173	28119.310026629588	34084.80683680759	32009.67653244781	18984.764780020654	22925.784111134122	17608.542770469096	20931.476384480593	16724.712892344673	25829.736418666875	21187.41753528293	22810.660909279028	29511.41561550268	28853.024323429	27247.415638636292	25256.98257087131	18385.10644793184	27664.079158606957	20269.732052194242	21489.029900850128	33888.824359300525	37013.50874338725
A2AQ19	9081.384726906172	15311.965335308176	16554.17739898306	9587.80818869703	12910.340178990686	8678.503318514824	16357.621552484674	16553.344808874757	12303.466674254538	18071.339690513818	19835.20886339425	16290.692063751834	0.0	0.0	8751.229751865523	9545.558159176422	12969.301146685144	12993.009859136348	11682.362697233108	12804.610396478092	12737.067088600867	17104.862097822606	10292.626381632097	10633.315333630748	9526.250359734966	8311.05182861889	8942.277037645983	8796.500849159656	7687.711733300345	11881.321234666939
A2AQ25	29833.873132639055	30389.577259158683	29461.04277198681	27937.25144234096	26291.334426506226	26544.562208929077	28146.64955283152	31556.526423563708	23002.462633121122	34909.504148399574	30798.087303939075	36713.26090186829	23535.498787355402	26306.54136025647	37302.5869003493	31713.74873351246	37519.048183937346	23824.83294131321	18755.86772795711	24672.758739047244	26298.100626102463	28321.66857862312	22512.79705860131	22436.386430129307	18056.770391636917	26784.831337862302	21025.553436951664	24642.83215227098	25328.07398941856	30779.442260198473
A2AR02	81413.2754019761	70404.83726895502	73500.62896607167	76866.21805626574	57906.42555034606	75357.74454371612	73701.68228079389	70535.34067367183	80724.68629570535	94244.4737128092	78888.93110203886	74010.73405815262	48781.32509218468	35675.40367240277	50906.36279839849	39825.11387554727	29281.802922090803	59965.26517907414	48989.01526284377	49967.94052049492	51289.654101243475	69751.46267305691	54371.52665981048	52640.320228688855	51147.734032242246	38673.70151461506	48865.078792114546	65245.85177164566	62201.69361985401	76064.75101127353
A2AS89	2521249.994711273	1986479.3363339945	1367051.8921069347	2136636.0489957924	1618497.6484477478	2027971.977349078	1559250.3449619901	1537124.6993356915	1860668.0353039715	1871543.836886454	1387710.1266704523	1751760.5243919452	1268802.49807022	1134366.9756659851	1493498.5713201258	1032926.4991060195	1261983.8804871438	1023739.1127671932	1105656.757824659	1053874.394304676	1277113.2576290106	996455.7839770319	1218962.7332775276	1116484.011652785	1063743.7354220105	1268386.737301731	1236475.4205580838	1457337.3951171224	1779268.5750386377	1870514.9120699386
A2ASZ8	170984.05409898638	158511.25415435707	154532.17659814956	209803.06673665866	206062.10708921522	244118.82717975916	161965.54924370488	174593.76747293485	191914.78030931926	185942.62601114254	222352.2043683623	276654.72329195094	149297.779143612	152594.94714215066	135194.90978196176	99592.43393412768	81391.43949372374	90029.33021150414	222741.4244727859	183258.5951796321	201478.15046802498	221476.17270863667	183153.39877442602	188504.7232455834	186908.5106218243	190554.11098136875	202488.7983710943	308121.20215119567	351915.4769358645	281339.9623023167
A2ATU0	535897.1884613653	957386.7795712778	962414.7969621463	966942.387986661	929413.7325084874	1071848.2066236278	920239.4009549145	982324.9527202335	876762.3919243165	1211626.1631364322	1061989.0618324368	1189951.6003048269	704467.7169003799	776156.2276646061	537704.6178388322	514200.3618037646	632022.1846551738	614873.4498733155	878499.34985719	841055.4815269352	952739.2022610906	934222.1662317088	663763.6248385723	723413.1266186578	908422.5250446527	803065.0760493978	715345.7145662009	840108.537796432	964064.3664243611	789154.7964964702
A2AWA9	8355.377000488405	9789.675545646272	11421.015455437111	8485.514517316571	8932.198078977528	7369.727755095998	9101.834570086845	11435.645193522974	11108.508047453714	11547.19228132249	10789.82053686989	13115.735606506638	0.0	6728.815383273808	9863.085087598703	0.0	11892.676876682373	19868.25122327502	13629.12813883475	11107.495780955562	11124.260236830916	10462.376817713783	9109.330695675233	7025.684296957701	6680.815508670389	22807.763495203766	7394.501539300428	9291.098717056004	0.0	0.0
A2AWP8	9497.200644647764	19488.70577584584	17775.560553569125	13272.769649091102	10349.266722762572	9797.403529376606	21125.96613816049	14268.126042097874	7333.351585460081	6585.674575696371	17926.01805016413	17240.2354889403	0.0	15603.374671086352	18063.27932576041	0.0	24743.45256897093	14276.243901444554	15468.979139061832	18251.575886946615	6005.884181727202	18328.342656494315	17336.36646332328	22439.22933547402	0.0	2888.949573831009	13884.080241238686	15605.702714467918	21467.411165778398	16981.200336711114
A2BDX3	32818.43742219057	26301.428807132736	26179.69511508471	25241.610462296256	26270.73082617648	27528.12297140911	33921.869991703046	36260.487548914636	33369.61996961356	28325.729889497146	32140.69090397103	29538.747367069136	25526.6670439116	29320.506554761792	42787.565165827546	46714.276173746846	49722.25075685546	54761.41625620908	36160.12531723367	42275.61514339574	34739.31747209456	39136.93691411407	33133.115640461416	32855.85200180936	29428.53544885845	39926.538299198364	34512.02292594611	28376.309936175487	22771.47471125813	28655.87165471849
A2BE28	26877.534877517526	23492.982736263453	27563.37191166793	24221.00917683405	20775.532021671104	22211.76629538012	20949.849691508356	21305.962670902612	22153.24541000377	18512.413752230703	19231.39000791817	23951.361032688666	22391.26058202861	17453.06439954398	18829.471175574432	19745.082427334466	14913.455710912182	23316.201796806516	16119.578820484498	16402.217938539325	17599.62187840046	18563.579543185253	17642.839975008457	19352.215072781757	18892.314794058108	19045.979149798015	16712.342344757886	16761.386756023974	31375.704029093922	27266.42815771854
A2BH40	16743.154051450467	28715.968064387056	36114.05452605333	18509.940896375105	24271.275820537623	17879.92529137885	31444.96408719518	15943.028867252018	18052.85932921652	19394.718609745807	21928.61584702826	25213.554814059506	17535.30929727123	16804.860378953566	14307.653570007813	14256.626750351928	9000.454972430125	17997.758615059378	19724.303773028852	18970.41765803287	21260.852615621407	21969.08919112115	17683.28888885224	16281.22246869645	20694.957191427202	21048.321247148593	15900.456278743623	15339.45213104529	11976.516589243813	14873.315651062956
A2CG49	15666.655001069683	17526.2554166356	0.0	27497.93327953631	23238.731778744874	16932.283600332823	0.0	25800.986072765263	9677.989370797011	17929.90051601559	26519.677568818406	0.0	15956.03357383227	0.0	10263.651423268346	0.0	9569.45399425496	16138.632658246632	16727.12261790061	0.0	0.0	0.0	12427.255789219987	12580.492739268397	0.0	22235.916596094838	7566.411438676259	25897.98515873768	50768.118295978886	24957.167727962154
A2RRY8	0.0	0.0	0.0	0.0	18638.669276420467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17100.599999999988	0.0	21160.97098400569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RSJ4	35327.815899610076	48018.3879352986	35675.05594998989	46263.28680133591	46069.140463747855	45049.070079129524	46059.073339933144	36598.10348704355	49926.29064304244	45985.05251809301	43378.2443040962	38300.91123342291	35658.966695847455	28640.65265518531	15646.220972492141	48816.036161695076	43714.35857580406	46966.71454036721	41280.516908268204	48125.39744289026	37739.30819554942	34778.26156684408	43394.57880568786	34638.36086920716	31703.843079735347	42743.771947479516	36217.62017657236	40471.95524840568	37329.2374037829	38291.59300269437
A2RSQ0	111801.95353942871	117056.09321102967	150371.2035379039	134297.07525024464	116252.23647675703	97299.03072446278	173041.00352583107	162788.99487063184	139268.80078415349	140005.96617895708	130873.49880468324	112713.48939654247	107994.40029917411	119585.77776859158	146268.60422002646	128035.4073869714	161998.7980341579	175549.52448128618	138968.9735600986	139188.21235007863	114573.49745433318	132607.65062285546	104067.57675082276	115007.1180931771	122919.65018604488	153416.09630699418	116231.30484181942	124390.84309624754	109594.73702048884	114277.16728402347
