"","Slope_lm_function","R_squared_lm_function","R_linear_lm_function","Pearson_R_cor.test_function","Spearman_Rho_cor.test_function"
"F0hPC",0.743129534015942,0.300502047882332,0.548180670839763,0.548180670839762,0.574899337536482
"F0hPP",0.723497626296303,0.284387784828015,0.533280212297452,0.533280212297452,0.566024657249769
"F24hPC",0.690216693860126,0.27758238685492,0.526860879981538,0.526860879981537,0.554335187228307
"F24hPP",0.698490415927383,0.27301956824249,0.522512744574226,0.522512744574227,0.541431888779938
"M0hPC",0.751329236260471,0.302349063355917,0.549862767748387,0.549862767748389,0.564064376389151
"M0hPP",0.740561217555004,0.291974799060238,0.540346924725437,0.540346924725438,0.56037326210075
"M24hPC",0.705766510378929,0.287121135443732,0.535836855249554,0.535836855249553,0.55779872023652
"M24hPP",0.707775596833859,0.274172471686385,0.523614812325229,0.523614812325229,0.542837034206064
