"","4x","3x","2x","1x"
"sq1",31,52,87,171
"sq3",18,31,63,116
"q2",0,7,29,245
"q4",2,6,34,330
"q1",1,7,44,200
"q3",1,6,32,169
"sq2",0,0,0,1
"sq4",0,0,1,4
"NA",3679,4664,5100,5387
