"","4x","3x","2x","1x"
"sq1",2,2,2,20
"sq3",0,1,1,16
"q2",0,1,1,24
"q4",0,1,3,70
"q1",74,180,391,853
"q3",32,119,295,690
"sq2",0,0,0,2
"sq4",0,0,0,3
"NA",3148,4261,4920,5355
